36th Parliament, 1st Session
Martin, Robin
180	Somali Heritage Week Act, 2020	
Hassan, Faisal
181	Supply Act, 2020	
Bethlenfalvy, Hon. Peter President of the Treasury Board
182	Franco-Ontarian Emblem Amendment Act, 2020	
Kusendova-Bashta, Natalia
183	Strengthening Human Rights in Ontario Act, 2020	
Horwath, Andrea
184	Protecting Tenants and Strengthening Community Housing Act, 2020	
Clark, Hon. Steve Minister of Municipal Affairs and Housing
185	Vision Zero Strategy Act, 2020	
Bell, Jessica
186	Employment Standards Amendment Act (Infectious Disease Emergencies), 2020	
McNaughton, Hon. Monte Minister of Labour, Training and Skills Development
187	Municipal Emergency Act, 2020	
Clark, Hon. Steve Minister of Municipal Affairs and Housing
188	Economic and Fiscal Update Act, 2020	
Phillips, Rod Minister of Finance
189	Coronavirus (COVID-19) Support and Protection Act, 2020	
Lecce, Hon. Stephen Minister of Education
190	COVID-19 Response and Reforms to Modernize Ontario Act, 2020	
Calandra, Hon. Paul Minister Without Portfolio
191	Workplace Safety and Insurance Amendment Act (Presumption Respecting COVID-19), 2020	
Gates, Wayne
192	Protecting Small Business Act, 2020	
Clark, Hon. Steve Minister of Municipal Affairs and Housing
193	Climate Crisis Health Action Plan Act, 2020	
Tabuns, Peter
Karpoche, Bhutila
194	WSIB Coverage for Workers in Residential Care Facilities and Group Homes Act, 2020	
Fraser, John
195	Reopening Ontario (A Flexible Response to COVID-19) Act, 2020	
Jones, Hon. Sylvia Solicitor General
196	Seniors' Advocate Act, 2020	
Lindo, Laura Mae
197	COVID-19 Economic Recovery Act, 2020	
Clark, Hon. Steve Minister of Municipal Affairs and Housing
198	Cootes Paradise Water Accountability Act, 2020	
Shaw, Sandy
199	Taxation Amendment Act (Travel Ontario Tax Credit), 2020	
Gates, Wayne
200	Employment Standards Amendment Act (Sick Notes), 2020	
Schreiner, Mike
201	Magna Carta Day Act (In Memory of Julia Munro, MPP), 2020	
McKenna, Jane
202	Soldiers' Aid Commission Act, 2020	
Smith, Hon. Todd Minister of Children, Community and Social Services
203	More Than a Visitor Act (Caregiving in Congregate Care Settings), 2020	
Gretzky, Lisa
204	Helping Tenants and Small Businesses Act, 2020	
Clark, Hon. Steve Minister of Municipal Affairs and Housing
205	Protecting Renters from Illegal Evictions Act, 2020	
Bell, Jessica
206	Change of Name Amendment Act, 2020	
Mitas, Christina Maria
207	Moving Ontario Family Law Forward Act, 2020	
Downey, Hon. Doug Attorney General
208	Scottish Heritage Day Act, 2021	
McDonell, Jim
209	Supporting Economic Recovery and Renewal in the Niagara Region Act, 2020	
Gates, Wayne
210	Fairness for Residential Superintendents, Janitors and Caretakers Act, 2020	
Bisson, Gilles
211	Dwarfism Awareness and Acceptance Month Act, 2020	
Gélinas, France
212	Connecting Care Amendment Act (Patient Bill of Rights), 2020	
Fraser, John
213	Better for People, Smarter for Business Act, 2020	
Sarkaria, Hon. Prabmeet Singh Associate Minister of Small Business and Red Tape Reduction
214	Time Amendment Act, 2020	
Roberts, Jeremy
215	Main Street Recovery Act, 2020	
Sarkaria, Hon. Prabmeet Singh Associate Minister of Small Business and Red Tape Reduction
216	Food Literacy for Students Act, 2020	
Kramp, Daryl
217	Filipino Heritage Month Act, 2021	
Begum, Doly
218	Supporting Ontario's Recovery and Municipal Elections Act, 2020	
Downey, Hon. Doug Attorney General
219	Life Settlements and Loans Act, 2020	
Cuzzetto, Rudy
220	Murray Whetung Community Service Award Act, 2020	
Smith, Dave
221	Exalting Our Veterans Act, 2020	
Skelly, Donna
222	Ontario Rebuilding and Recovery Act, 2020	
Mulroney, Hon. Caroline Minister of Transportation
223	Highway Traffic Amendment Act (Electronic Logging Devices), 2020	
Thanigasalam, Vijay
224	No Time to Waste Act (Plan for Climate Action and Jobs), 2020	
Karpoche, Bhutila
Tabuns, Peter
225	Harvey and Gurvir's Law (Provision of Information Respecting Down Syndrome), 2020	
Singh, Sara
226	Broadband is an Essential Service Act, 2020	
Vanthof, John
227	Public Health Accountability Act (In Honour of Dr. Sheela Basrur), 2020	
Gélinas, France
228	Keeping Polystyrene Out of Ontario's Lakes and Rivers Act, 2021	
Miller, Norman
229	Protect, Support and Recover from COVID-19 Act (Budget Measures), 2020	
Phillips, Rod Minister of Finance
230	Front-line and Essential Service Worker Week Act, 2021	
Rasheed, Hon. Kaleed
231	Protecting Ontarians by Enhancing Gas Station Safety to Prevent Gas and Dash Act, 2020	
Anand, Deepak
232	Local Choice for Local Elections (Ranked Ballot By-Laws), 2020	
Hunter, Mitzie
233	Improving Access to Health Care Act, 2020	
Gélinas, France
Andrew, Jill
234	Payday Loans Accountability Act, 2020	
Shaw, Sandy
235	Cannabis Licence Amendment Act, 2020	
Stiles, Marit
236	Supporting Local Restaurants Act, 2020	
Sarkaria, Hon. Prabmeet Singh Associate Minister of Small Business and Red Tape Reduction
237	Fostering Privacy Fairness Act, 2021	
Bailey, Robert
238	Workplace Safety and Insurance Amendment Act, 2021	
McNaughton, Hon. Monte Minister of Labour, Training and Skills Development
239	Stay Home If You Are Sick Act, 2021	
Sattler, Peggy
240	Teddy's Law (Anti-Declawing), 2020	
Stiles, Marit
241	COVID-19 Memorial Day Act, 2020	
Armstrong, Teresa J.
242	Caregiver and Homeworker Protection Act, 2020	
Baber, Roman
243	Trespass to Property Amendment Act (Protecting Consumers from Package Piracy), 2021	
Crawford, Stephen
244	No COVID-19 Evictions Act, 2021	
Morrison, Suze
Bell, Jessica
245	Accelerating Access to Justice Act, 2021	
Downey, Hon. Doug Attorney General
246	Safer School Buses Act, 2021	
Harris, Mike
247	Paid Personal Emergency Leave Now Act, 2021	
Coteau, Michael
248	COVID-19 Public Inquiry Act, 2021	
Horwath, Andrea
249	We're All in This Together Act (Cutting MPP Salaries to CERB Equivalent), 2021	
Baber, Roman
250	Recovery Month Act, 2021	
Ke, Vincent
251	Combating Human Trafficking Act, 2021	
Jones, Hon. Sylvia Solicitor General
252	Housing is a Human Right Act, 2021	
Singh, Sara
Hassan, Faisal
253	Support for Adults in Need of Assistance Act, 2021	
Gélinas, France
254	Protecting Ontario Elections Act, 2021	
Downey, Hon. Doug Attorney General
255	Sickle Cell Disease Awareness Day and Thalassemia Awareness Day Act, 2021	
Khanjin, Hon. Andrea
Cuzzetto, Rudy
256	Awenen Niin Act (Who Am I) Respecting Identity Documents, 2021	
Monteith-Farrell, Judith
257	Supporting Broadband and Infrastructure Expansion Act, 2021	
Scott, Laurie Minister of Infrastructure
258	Battle of the Hatpins Day Act, 2021	
Bourgouin, Guy
259	Viewer Discretion Act (Images of Fetuses), 2021	
Armstrong, Teresa J.
Sattler, Peggy
Kernaghan, Terence
260	Stopping Harassment and Abuse by Local Leaders Act, 2021	
Blais, Stephen
261	Supply Act, 2021	
Bethlenfalvy, Hon. Peter President of the Treasury Board
262	Convenience Store Week Act, 2021	
Cho, Hon. Stan
263	Health Protection and Promotion Amendment Act (Temptation Be Gone), 2021	
Gélinas, France
264	Health Insurance Amendment Act (Linguistic Identity and French Diacritics on Health Cards), 2021	
Bourgouin, Guy
265	Executive Council Amendment Act, 2021	
Calandra, Hon. Paul Minister Without Portfolio
266	Support Workers Pay Act, 2021	
West, Jamie
267	Workplace Safety and Insurance Amendment Act (Access to Mental Health Support for Essential Workers), 2021	
Taylor, Monique
268	Waterpower Day Act, 2021	
Mantha, Michael
269	Protecting the People of Ontario Act (Budget Measures), 2021	
Bethlenfalvy, Hon. Peter Minister of Finance
270	Senior Volunteer Appreciation Week Act, 2021	
Pang, Billy
271	Persian Heritage Month Act, 2021	
Parsa, Hon. Michael
Ghamari, Goldie
272	Ministry of Health and Long-Term Care Amendment Act (Advanced Glucose Monitoring Devices), 2021	
Natyshak, Taras
273	Endometriosis Awareness Month Act, 2021	
Stiles, Marit
Morrison, Suze
274	Intimate Partner Violence Disclosure Act, 2021	
Stevens, Jennifer (Jennie)
275	Supply Chain Management Amendment Act (Provincial Diverse Vendor Strategy), 2021	
Fife, Catherine
276	Supporting Recovery and Competitiveness Act, 2021	
Sarkaria, Hon. Prabmeet Singh Associate Minister of Small Business and Red Tape Reduction
277	Ministry of Health and Long-Term Care Amendment Act (Supporting Individuals in their Homes and Communities with Assistive Devices for Mental Health), 2021	
Kernaghan, Terence
278	French Language Services Amendment Act, 2021	
Bourgouin, Guy
279	Environmental Protection Amendment Act (Microplastics Filters for Washing Machines), 2021	
Bell, Jessica
Arthur, Ian
280	Protecting Seniors' Rights in Care Homes Act, 2021	
Bell, Jessica
281	Christopher's Law (Sex Offender Registry) Amendment Act, 2021	
Smith, Dave
282	Moving Ontarians More Safely Act, 2021	
Mulroney, Hon. Caroline Minister of Transportation
283	Advancing Oversight and Planning in Ontario's Health System Act, 2021	
Elliott, Christine Minister of Health
284	COVID-19 Putting Workers First Act, 2021	
McNaughton, Hon. Monte Minister of Labour, Training and Skills Development
285	Non-Profit Sector Appreciation Week Act, 2021	
Wai, Daisy
286	Inherent Right to Safe Drinking Water Act, 2021	
Mamakwa, Sol
287	Equity Education for Young Ontarians Act, 2021	
Collard, Lucille
288	Building Opportunities in the Skilled Trades Act, 2021	
McNaughton, Hon. Monte Minister of Labour, Training and Skills Development
289	Day of Remembrance and Action Against Anti-Asian Racism Act, 2021	
Bell, Jessica
Kernaghan, Terence
Glover, Chris
Karpoche, Bhutila
290	Long-Term Care Commission's Recommendations Reporting Act, 2021	
Fraser, John
291	Anti-Racism Amendment Act (Anti-Asian Racism and Incidents of Hate), 2021	
Collard, Lucille
Coteau, Michael
292	Highway Memorials for Fallen Police Officers Amendment Act (In Memory of Officers Impacted by Traumatic Events), 2021	
Gélinas, France
293	Nikola Tesla Day Act, 2021	
Rakocevic, Tom
294	Securities Amendment Act (Climate Risk Financial Disclosure), 2021	
Bell, Jessica
Arthur, Ian
295	Haitian Flag Day Act, 2021	
Blais, Stephen
296	Retirement Home Justice and Accountability Act, 2021	
Shaw, Sandy
297	Centering Youth in Pandemic Recovery Act, 2021	
Bell, Jessica
Stiles, Marit
298	Abuse Prevention Week Act, 2021	
Mantha, Michael
299	Anti-Asian Racism Education Month Act, 2021	
Ke, Vincent
300	Post-secondary Education Choice and Excellence Amendment Act, 2021	
Lindo, Laura Mae
Morrison, Suze
301	Autism Awareness Day Act, 2021	
Armstrong, Teresa J.
302	Making the Patient Ombudsman an Officer of the Assembly Act, 2021	
Fraser, John
303	Clean Trains Now Act, 2021	
Karpoche, Bhutila
Hassan, Faisal
Rakocevic, Tom
Stiles, Marit
304	Harvey and Gurvir's Law (Providing Information about Down Syndrome to Expectant Parents, Regulated Health Professionals and the Public), 2021	
Singh, Sara
305	10 Paid Sick Days for Ontario Workers Act, 2021	
Fraser, John
306	York Region Wastewater Act, 2021	
Piccini, Hon. David Minister of the Environment, Conservation and Parks
307	Protecting Elections and Defending Democracy Act, 2021	
Downey, Hon. Doug Attorney General

42nd Parliament, 2nd Session
Bill title search
No.	Bill title	Sponsor
1	An Act to perpetuate an ancient parliamentary right	
Ford, Hon. Doug Premier
2	Creating Safe Zones around Hospitals, Other Health Facilities, Schools and Child Care Centres Act, 2021	
Fraser, John
3	Stopping Anti-Public Health Harassment Act, 2021	
Horwath, Andrea
4	Long-Term Care Commission's Recommendations Reporting Act, 2021	
Fraser, John
5	York Region Wastewater Act, 2021	
Piccini, Hon. David Minister of the Environment, Conservation and Parks
6	Jobs and Jabs Act, 2021	
Baber, Roman
7	10 Paid Sick Days for Ontario Workers Act, 2021	
Fraser, John
8	Stay Home If You Are Sick Act, 2021	
Singh, Sara
Begum, Doly
Andrew, Jill
Sattler, Peggy
9	Non-Profit Sector Appreciation Week Act, 2021	
Wai, Daisy
10	Stopping Harassment and Abuse by Local Leaders Act, 2022	
Blais, Stephen
11	Autism Awareness Day Act, 2021	
Armstrong, Teresa J.
12	Mandatory COVID-19 Vaccinations in the Education and Healthcare Sectors Act, 2021	
Fraser, John
13	Supporting People and Businesses Act, 2021	
Tangri, Hon. Nina Associate Minister of Small Business and Red Tape Reduction
14	Time to Care Act (Long-Term Care Homes Amendment, Minimum Standard of Daily Care), 2021	
Armstrong, Teresa J.
15	Connecting Care Amendment Act (Patient Bill of Rights), 2021	
Fraser, John
16	WSIB Coverage for Workers in Residential Care Facilities and Group Homes Act, 2021	
Fraser, John
17	Gender Affirming Health Care Advisory Committee Act, 2021	
Morrison, Suze
18	Polish Heritage Month Act, 2021	
Yakabuski, John
Hogarth, Christine
19	More Than a Visitor Act (Caregiving in Congregate Care Settings), 2021	
Gretzky, Lisa
20	La Francophonie Act, 2021	
Collard, Lucille
Simard, Amanda
21	Taxation Amendment Act (Travel Ontario Tax Credit), 2021	
Gates, Wayne
22	Making the Patient Ombudsman an Officer of the Assembly Act, 2021	
Fraser, John
23	Rent Stabilization Act, 2021	
Bell, Jessica
Karpoche, Bhutila
Harden, Joel
Kernaghan, Terence
24	Highway Memorials for Fallen Police Officers Amendment Act (In Memory of Officers Impacted by Traumatic Events), 2021	
Gélinas, France
25	Early Years and Child Care Worker Advisory Commission Act, 2021	
Karpoche, Bhutila
26	Uploading Highways 174 and 17 Act, 2021	
Blais, Stephen
27	Working for Workers Act, 2021	
McNaughton, Hon. Monte Minister of Labour, Training and Skills Development
28	Preventing Worker Misclassification Act, 2021	
Sattler, Peggy
29	Cannabis Licence Amendment Act, 2021	
Stiles, Marit
30	Foreign Credentials Advisory Committee Act, 2021	
Collard, Lucille
31	Nancy Rose Act (Paediatric Hospice Palliative Care Strategy), 2021	
Shaw, Sandy
32	Carbon Budget Accountability Act, 2021	
Schreiner, Mike
33	Sikh Genocide Awareness Week Act, 2021	
Singh, Gurratan
34	Anti-Asian Racism Education Month Act, 2021	
Ke, Vincent
35	Equity Education for Young Ontarians Act, 2021	
Collard, Lucille
36	Franco-Ontarian Community Act, 2021	
Bourgouin, Guy
37	Providing More Care, Protecting Seniors, and Building More Beds Act, 2021	
Phillips, Rod Minister of Long-Term Care
38	Remembrance Week Amendment Act, 2021	
Gill, Hon. Parm Minister of Citizenship and Multiculturalism
39	Change of Name Amendment Act, 2021	
Mitas, Christina Maria
40	Support for Adults in Need of Assistance Act, 2021	
Gélinas, France
41	Viewer Discretion Act (Images of Fetuses), 2021	
Sattler, Peggy
Kernaghan, Terence
Armstrong, Teresa J.
42	Ontario Religious Freedom Day Act, 2021	
Sabawy, Sheref
43	Build Ontario Act (Budget Measures), 2021	
Bethlenfalvy, Hon. Peter Minister of Finance
44	Perinatal Mental Health Act, 2021	
Karpoche, Bhutila
45	Ontario Cadets Week Act, 2021	
Barrett, Toby
46	Northern Health Travel Grant Advisory Committee Act, 2021	
Monteith-Farrell, Judith
47	Poet Laureate of Ontario Amendment Act (French-language Poet Laureate of Ontario), 2021	
Collard, Lucille
48	Support Workers Pay Act, 2021	
West, Jamie
49	Anti-Money Laundering in Housing Act, 2021	
Karpoche, Bhutila
Begum, Doly
Bell, Jessica
50	Hungarian Heritage Month Act, 2022	
Cuzzetto, Rudy
PR51	Adventure Learning Experiences Inc. Act, 2021	
Wai, Daisy
51	Provincial Day of Service Act, 2022	
Coe, Lorne
PR52	1921628 Ontario Inc. Act, 2021	
Wai, Daisy
52	Stopping Illegal Handgun Smuggling Act, 2021	
Morrison, Suze
Tabuns, Peter
Berns-McGown, Rima
Begum, Doly
PR53	1664503 Ontario Inc. Act, 2021	
Coe, Lorne
53	Teddy's Law (Anti-Declawing), 2021	
Stiles, Marit
54	Protecting Vulnerable Road Users Act, 2021	
Begum, Doly
Karpoche, Bhutila
Bell, Jessica
PR54	2492725 Ontario Inc. Act, 2021	
Yarde, Kevin
PR55	New Edinburgh Property Management Service Ltd. Act, 2021	
Collard, Lucille
55	Menstrual Health Day Act, 2021	
Karpoche, Bhutila
PR56	2238990 Ontario Inc. Act, 2021	
Wai, Daisy
56	9-1-1 Everywhere in Ontario Act, 2021	
Gélinas, France
57	Paris Galt Moraine Conservation Act, 2021	
Schreiner, Mike
PR57	Total Pest Management Services Ltd. Act, 2021	
Smith, Dave
PR58	Vos Food Store Equipment Ltd. Act, 2021	
Bouma, Will
58	Endometriosis Awareness Month Act, 2021	
Stiles, Marit
PR59	201827 Ontario Limited Act, 2022	
Miller, Norman
59	Making Northern Ontario Highways Safer Act, 2022	
Bourgouin, Guy
PR60	1692783 Ontario Inc. Act, 2022	
Gates, Wayne
60	Safe and Healthy Communities Act (Addressing Gun Violence), 2022	
Hunter, Mitzie
PR61	1712042 Ontario Ltd. Act, 2022	
Gates, Wayne
61	Murray Whetung Community Service Award Act, 2021	
Smith, Dave
62	Fairness for Road Users Act (Contraventions Causing Death or Serious Bodily Harm), 2021	
French, Jennifer K.
PR62	Groves Memorial Community Hospital Act, 2022	
Pettapiece, Randy
PR63	Superior Corporate Services Limited Act, 2022	
Fraser, John
63	Cootes Paradise Water Accountability Act, 2021	
Shaw, Sandy
PR64	Navigation Project Management Inc. Act, 2022	
Fife, Catherine
64	Awenen Niin Act (Who Am I) Respecting Identity Documents, 2021	
Monteith-Farrell, Judith
65	Brunt and Kendall Act (Ensuring Safe Firefighter and Trainee Rescue Training), 2021	
French, Jennifer K.
PR65	Ross Memorial Hospital Act, 2022	
Scott, Laurie
66	COVID-19 Memorial Day Act, 2021	
Armstrong, Teresa J.
PR66	2704395 Ontario Inc Act, 2022.	
Berns-McGown, Rima
PR67	Frolander Island Resort (2003) Ltd. Act, 2022	
Smith, Dave
67	Racial Equity in the Education System Act, 2022	
Lindo, Laura Mae
PR68	Lunova Machinery Import and Export Ltd. Act, 2022	
Bouma, Will
68	Speaking Out About Workplace Violence and Workplace Harassment Act, 2021	
Gélinas, France
69	Education Statute Law Amendment Act (Fetal Alcohol Spectrum Disorder), 2021	
Wynne, Kathleen O.
PR69	Brisdale Plaza Inc. Act, 2022	
Singh, Gurratan
70	Four-Day Work Week Act, 2021	
Karpoche, Bhutila
PR70	2127023 Ontario Inc. Act, 2022	
Singh, Gurratan
71	Keeping Students Safe on School Buses Act (Highway Traffic Amendment), 2021	
Wynne, Kathleen O.
PR71	Eleanor Fulcher Limited Act, 2022	
Miller, Norman
PR72	1833025 Ontario Inc. Act, 2022	
Pettapiece, Randy
72	St. James Town Act (Residential Tenancies Amendments), 2021	
Morrison, Suze
73	Long-Term Care Homes Amendment Act (Preference for Veterans), 2021	
Stevens, Jennifer (Jennie)
74	Mount Pleasant Public Cemeteries Act, 2021	
Bell, Jessica
PR74	P.K.B. International Bazaar Ltd. Act, 2022	
Ke, Vincent
75	Emancipation Month Act, 2021	
Schreiner, Mike
Hunter, Mitzie
Khanjin, Hon. Andrea
Lindo, Laura Mae
PR75	2300943 Ontario Inc. Act, 2022	
Ke, Vincent
76	Lifejackets for Life Act, 2022	
Miller, Norman
77	Ontario Consumer Watchdog Act, 2022	
Rakocevic, Tom
Begum, Doly
Kernaghan, Terence
Hassan, Faisal
78	Police Services Amendment Act, 2022	
Harris, Mike
79	Right to Timely Mental Health and Addiction Care for Children and Youth Act, 2021	
Karpoche, Bhutila
80	Local Choice for Local Elections Act (Ranked Ballot By-Laws), 2021	
Hunter, Mitzie
81	Protecting Vulnerable Persons in Supportive Living Accommodation Act, 2021	
Burch, Jeff
82	Day of Remembrance and Action Against Anti-Asian Racism Act, 2021	
Glover, Chris
Karpoche, Bhutila
Kernaghan, Terence
Bell, Jessica
83	Freeing Highways 412 and 418 Act (Toll Highway Amendments), 2022	
French, Jennifer K.
84	Fewer Fees, Better Services Act, 2022	
Tangri, Hon. Nina Associate Minister of Small Business and Red Tape Reduction
85	Smoke-Free Ontario Amendment Act (Vaping is not for Kids), 2022	
Gélinas, France
86	Our London Family Act (Working Together to Combat Islamophobia and Hatred), 2022	
Kernaghan, Terence
Hassan, Faisal
Armstrong, Teresa J.
Sattler, Peggy
87	Black Mental Health Day Act, 2022	
Karpoche, Bhutila
Hassan, Faisal
88	Working for Workers Act, 2022	
McNaughton, Hon. Monte Minister of Labour, Training and Skills Development
89	Protecting Ontario's Religious Diversity Act, 2022	
Oosterhoff, Sam
90	No COVID-19 Evictions Act, 2022	
Bell, Jessica
Morrison, Suze
Andrew, Jill
Kernaghan, Terence
91	Fairness in Petroleum Products Pricing Act, 2022	
Bisson, Gilles
92	Ministry of Community and Social Services Amendment Act (Social Assistance Research Commission), 2022	
Miller, Paul
93	Getting Ontario Connected Act, 2022	
Surma, Hon. Kinga Minister of Infrastructure
94	Climate Crisis Health Action Plan Act, 2022	
Tabuns, Peter
Karpoche, Bhutila
95	Long-Term Care Homes Amendment (Till Death Do Us Part) Act, 2022	
Singh, Sara
Fife, Catherine
96	Supply Act, 2022	
Sarkaria, Hon. Prabmeet Singh President of the Treasury Board
97	Transparent and Accountable Health Care Act, 2022	
Gélinas, France
98	Fairness for Ontario's Internationally Trained Workers Act, 2022	
Kernaghan, Terence
Begum, Doly
Harden, Joel
Rakocevic, Tom
99	Protection from Coerced Debts Incurred in relation to Human Trafficking Act, 2022	
Collard, Lucille
100	Keeping Ontario Open for Business Act, 2022	
Jones, Hon. Sylvia Solicitor General
101	Harvey and Gurvir's Law (Providing Information about Down Syndrome to Expectant Parents, Regulated Health Professionals and the Public), 2022	
Singh, Sara
102	Environmental Protection Amendment Act (Mircrofiber Filters for Washing Machines), 2022	
Bell, Jessica
103	Ending Automobile Insurance Discrimination in the Greater Toronto Area Act, 2022	
Hassan, Faisal
Rakocevic, Tom
Yarde, Kevin
Singh, Gurratan
104	Connected Communities Act, 2022	
Park, Lindsey
105	Armenian Heritage Month Act, 2022	
Babikian, Aris
106	Pandemic and Emergency Preparedness Act, 2022	
Sarkaria, Hon. Prabmeet Singh President of the Treasury Board
107	Peter Kormos Memorial Act (Saving Organs to Save Lives), 2022	
Gélinas, France
108	Access to Sexual Assault Evidence Kits and Provision of Sexual Assault Education Act, 2022	
Collard, Lucille
109	More Homes for Everyone Act, 2022	
Clark, Hon. Steve Minister of Municipal Affairs and Housing
110	Clean Trains Now Act, 2022	
Rakocevic, Tom
Karpoche, Bhutila
Stiles, Marit
Hassan, Faisal
111	Tax Relief at the Pumps Act, 2022	
Bethlenfalvy, Hon. Peter Minister of Finance
112	Green Shirt Day Act, 2022	
Parsa, Hon. Michael
113	Centering Youth in Pandemic Recovery Act, 2022	
Stiles, Marit
114	Pandemic Preparedness Act, 2022	
Karpoche, Bhutila
115	Teach the Reach Act, 2022	
Stiles, Marit
116	Auditor General Amendment Act, 2022	
Gélinas, France
West, Jamie
117	Myasthenia Gravis Month Act, 2022	
Taylor, Monique
Walker, Bill
118	Education Amendment Act (Civic Education), 2022	
Simard, Amanda
119	Fostering Privacy Fairness Act, 2022	
Bailey, Robert
120	Making Psychotherapy Services Tax-Free Act, 2022	
Andrew, Jill
Gélinas, France
121	No Time to Waste Act (Plan for Climate Action and Jobs), 2022	
Karpoche, Bhutila
Tabuns, Peter
122	Supporting Economic Recovery and Renewal in the Niagara Region Act, 2022	
Gates, Wayne
123	Labour Relations Amendment Act (Replacement Workers), 2022	
Gélinas, France
West, Jamie
124	Safe Night Out Act, 2022	
Lindo, Laura Mae
Andrew, Jill
Sattler, Peggy
Kernaghan, Terence
125	Justice for Victims of Occupational Disease Act, 2022	
Gates, Wayne
126	Plan to Build Act (Budget Measures), 2022	
Bethlenfalvy, Hon. Peter Minister of Finance

43rd Parliament, 1st Session
Bill title search
No.	Bill title	Sponsor
1	An Act to perpetuate an ancient parliamentary right	
Ford, Hon. Doug Premier
Pr1	Sapore Di Calabria Inc. Act, 2023	
West, Jamie
Pr2	405456 Ontario Limited Act, 2022	
McMahon, Mary-Margaret
2	Plan to Build Act (Budget Measures), 2022	
Bethlenfalvy, Hon. Peter Minister of Finance
Pr3	1204755 Ontario Limited Act, 2022	
Vanthof, John
3	Strong Mayors, Building Homes Act, 2022	
Clark, Steve Minister of Municipal Affairs and Housing
Pr4	Quadcard Entertainment Ltd. Act, 2022	
French, Jennifer K.
4	Stay Home If You Are Sick Act, 2022	
Sattler, Peggy
5	Stopping Harassment and Abuse by Local Leaders Act, 2023	
Blais, Stephen
Pr5	H.B. Arndt & Associates Ltd. Act, 2022	
Sattler, Peggy
6	Foreign Credentials Advisory Committee Act, 2022	
Collard, Lucille
Pr6	Nextblock Inc. Act, 2022	
Bell, Jessica
7	More Beds, Better Care Act, 2022	
Calandra, Hon. Paul Minister of Long-Term Care
Pr7	Welberne Holding Corp. Act, 2022	
Kernaghan, Terence
Pr8	1748317 Ontario Inc. Act, 2023	
Khanjin, Hon. Andrea
8	Anti-Money Laundering in Housing Act, 2022	
Bell, Jessica
Karpoche, Bhutila
Pr9	933834 Ontario Limited Act, 2023	
Khanjin, Hon. Andrea
9	Safe and Healthy Communities Act (Addressing Gun Violence), 2022	
Hunter, Mitzie
Pr10	Maizal Tortilleria Inc. Act, 2023	
Glover, Chris
10	Publication of Mandate Letters Act, 2022	
Shamji, Adil
11	Speaking Out About, and Reporting On, Workplace Violence and Harassment Act, 2022	
Gélinas, France
Andrew, Jill
Bell, Jessica
Lindo, Laura Mae
Pr11	2103890 Ontario Limited Act, 2023	
Bell, Jessica
Pr12	Artgem Granite and Marble Inc. Act, 2023	
Pang, Billy
12	Ending Automobile Insurance Discrimination in the Greater Toronto Area Act, 2022	
Rakocevic, Tom
Begum, Doly
Stiles, Marit
Pr13	Woodstock Moose Lodge No. 1141 (Holdings) Limited Act, 2023	
Hardeman, Ernie
13	Northern Health Travel Grant Advisory Committee Act, 2024	
Mantha, Michael
14	No Time to Waste Act (Plan for Climate Action and Jobs), 2022	
Tabuns, Peter
Karpoche, Bhutila
Pr14	1753461 Ontario Ltd. Act, 2023	
Vanthof, John
Pr15	816537 Ontario Inc. Act, 2023	
Pierre, Natalie
15	Fairness for Road Users Act (Contraventions Causing Death or Serious Bodily Harm), 2023	
French, Jennifer K.
16	Racial Equity in the Education System Act, 2022	
Vaugeois, Lise
Andrew, Jill
Lindo, Laura Mae
Pr16	Flight Level Canada Inc. Act, 2023	
Pierre, Natalie
Pr17	J2M Collingwood Holdings Inc. Act, 2023	
Saunderson, Brian
17	Abuse Prevention Week Act, 2022	
Mantha, Michael
Pr18	2253697 Ontario Inc. Act, 2023	
Ghamari, Goldie
18	Consent Awareness Week Act, 2022	
Wong-Tam, Kristyn
Andrew, Jill
Lindo, Laura Mae
Stiles, Marit
Pr19	The Noble House Corporation Act, 2023	
Smith, Laura
19	Auditor General Amendment Act, 2022	
Gélinas, France
West, Jamie
20	Access to Sexual Assault Evidence Kits and Provision of Sexual Assault Education Act, 2022	
Collard, Lucille
Pr20	414087 Ontario Limited Act, 2023	
Saunderson, Brian
Pr21	1105954 Ontario Limited Act, 2023	
Saunderson, Brian
21	Fixing Long-Term Care Amendment Act (Till Death Do Us Part), 2022	
Fife, Catherine
22	Poet Laureate of Ontario Amendment Act (French-language Poet Laureate of Ontario), 2022	
Collard, Lucille
Pr22	League Technique Inc. Act, 2023	
Bowman, Stephanie
23	More Homes Built Faster Act, 2022	
Clark, Steve Minister of Municipal Affairs and Housing
Pr23	Ice Hockey Resources Ltd. Act, 2023	
Glover, Chris
24	Health Care is Not for Sale Act (Addressing Unfair Fees Charged to Patients), 2022	
Gélinas, France
Pr24	Parrington’s Food Market Limited Act, 2023	
Brady, Bobbi Ann
Pr25	Superior Corporate Services Limited Act, 2023	
Fraser, John
25	Rent Stabilization Act, 2022	
Karpoche, Bhutila
Bell, Jessica
Harden, Joel
Kernaghan, Terence
26	Strengthening Post-secondary Institutions and Students Act, 2022	
Dunlop, Hon. Jill Minister of Colleges and Universities
Pr26	592605 Ontario Limited Act, 2023	
Bresee, Ric
27	Protecting Agricultural Land Act, 2022	
Vanthof, John
Pr27	1376122 Ontario Ltd. Act, 2023	
Shamji, Adil
28	Keeping Students in Class Act, 2022	
Lecce, Hon. Stephen Minister of Education
